Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
,2022,2023,2024
ACEH,92.24,92.55,92.64
Simeulue,78.87,79.41,79.78
Aceh Singkil,84.97,85.23,85.51
Aceh Selatan,91.99,92.12,92.24
Aceh Tenggara,93.11,93.28,93.28
Aceh Timur,86.5,86.98,87.26
Aceh Tengah,97.35,97.5,97.89
Aceh Barat,85.98,86.36,86.67
Aceh Besar,95.22,95.29,95.37
Pidie,93.81,93.92,93.98
Bireuen,95.01,95.08,95.09
Aceh Utara,92.85,93.3,93.36
Aceh Barat Daya,89.96,90.27,90.44
Gayo Lues,89.48,89.63,90.08
Aceh Tamiang,82.09,82.38,82.66
Nagan Raya,90.82,91.02,91.32
Aceh Jaya,89.62,89.8,90.12
Bener Meriah,96.79,96.76,96.73
Pidie Jaya,94.99,95.27,95.28
Kota Banda Aceh,95.91,96.19,96.18
Kota Sabang,95.6,95.64,95.74
Kota Langsa,95.56,95.77,95.88
Kota Lhokseumawe,95.06,95.73,95.73
Kota Subulussalam,85.26,85.36,85.88
SUMATERA UTARA,91.06,91.31,91.5
Nias,91.28,91.05,91.22
Mandailing Natal,93.42,93.68,93.88
Tapanuli Selatan,90.99,90.63,90.75
Tapanuli Tengah,94.95,95.23,95.38
Tapanuli Utara,98.16,97.75,97.69
Toba Samosir / Toba,98.51,98.32,98.24
Labuhan Batu,90.81,90.74,90.85
Asahan,91.93,91.91,92.06
Simalungun,93.16,93.09,93.41
Dairi,98.15,98.44,98.37
Karo,96.38,96.36,96.49
Deli Serdang,91.61,91.92,92.15
Langkat,89.03,88.77,89.05
Nias Selatan,89.19,89.68,89.84
Humbang Hasundutan,97.65,97.45,97.42
Pakpak Bharat,99.25,98.99,99.2
Samosir,96.76,96.74,96.93
Serdang Bedagai,89.19,88.87,89.07
Batu Bara,83.51,83.76,84.06
Padang Lawas Utara,88.1,88.26,88.47
Padang Lawas,86.24,86.56,86.97
Labuhan Batu Selatan,87.98,88.34,88.88
Labuhan Batu Utara,90.13,90.43,90.6
Nias Utara,80.12,80.51,80.92
Nias Barat,87.02,87.33,87.57
Kota Sibolga,97.9,98.01,98
Kota Tanjung Balai,90.28,90.53,90.89
Kota Pematang Siantar,95.96,95.94,96.65
Kota Tebing Tinggi,93.62,93.64,93.89
Kota Medan,93.85,94.13,94.49
Kota Binjai,90.64,90.99,91.38
Kota Padangsidimpuan,97.92,97.53,97.46
Kota Gunungsitoli,89.69,89.92,90.24
SUMATERA BARAT,94.72,94.93,95.25
Kepulauan Mentawai,89.91,89.57,90.13
Pesisir Selatan,95.75,95.57,95.83
Solok,96.29,96.17,96.22
Sijunjung,94.16,94.28,94.39
Tanah Datar,97.62,97.73,97.48
Padang Pariaman,93.08,93.32,93.92
Agam,97,97.19,97.09
Lima Puluh Kota,94.85,94.77,94.86
Pasaman,92.51,92.7,92.91
Solok Selatan,95.2,95.27,95.53
Dharmasraya,88.56,89.11,89.71
Pasaman Barat,90.17,90.05,90.32
Kota Padang,93.85,93.94,94.04
Kota Solok,96.67,96.64,96.9
Kota Sawah Lunto,95.17,95.36,95.73
Kota Padang Panjang,98.24,98.19,98.23
Kota Bukittinggi,99.36,99.17,98.66
Kota Payakumbuh,98.61,98.58,98.93
Kota Pariaman,98.64,98.07,98.11
RIAU,88.71,88.98,89.32
Kuantan Singingi,90.48,90.47,90.69
Indragiri Hulu,86.73,87.07,87.41
Indragiri Hilir,82.74,83.2,83.7
Pelalawan,88.94,89.37,89.44
Siak,88.79,88.93,89.03
Kampar,89.81,89.87,90.18
Rokan Hulu,82.44,82.72,83.05
Bengkalis,90.11,89.94,89.91
Rokan Hilir,85.13,85.38,85.81
Kepulauan Meranti,86.97,87.35,87.44
Kota Pekanbaru,93.63,93.89,94.04
Kota Dumai,90.74,90.92,91.35
JAMBI,88.95,89.29,89.5
Kerinci,87.03,87.15,87.49
Merangin,88.35,88.82,88.84
Sarolangun,91.65,91.38,92
Batang Hari,85.44,85.57,85.95
Muaro Jambi,81.55,82.12,82.47
Tanjung Jabung Timur,87.68,87.9,88.09
Tanjung Jabung Barat,86.17,86.51,86.53
Tebo,90.92,91.63,91.87
Bungo,88.61,88.83,88.95
